strain,species,replicate,Peak,Name,Formula,KEGG_ID,Molecular Weight,RT [min],mzVault Best Match,mzCloud Best Match,MS2,Area,normalizedArea
Isogenic,PA,R7,p_P787,Acadesine,C9 H14 N4 O5,D02742,258.09644,2.323,96.2,89.6,DDA for preferred ion,200314.0932,-3.1802952555950093
Isogenic,PA,R7,p_P793,Xanthine,C5 H4 N4 O2,C00385,152.03331,2.347,80.2,NA,DDA for preferred ion,1149507.159,0.4765280242108254
Isogenic,PA,R7,p_P803,L-Tyrosine,C9 H11 N O3,C00082,181.0738,2.377,94.4,93.4,DDA for preferred ion,49653458.5,-1.6424833865776094
Isogenic,PA,R7,p_P804,2-Hydroxycinnamic acid,C9 H8 O3,C01772,164.04723,2.377,69.6,86.7,DDA for preferred ion,50239023.04,-1.6281905415122573
Isogenic,PA,R7,p_P806,Coumarin,C9 H6 O2,C05851,146.03671,2.378,84.9,82.2,DDA for preferred ion,1356009.382,-1.6751168063316157
Isogenic,PA,R7,p_P861,1-Pyrroline-4-hydroxy-2-carboxylate,C5 H7 N O3,C04282,129.04258,2.503,NA,74,DDA for preferred ion,923798.053,0.3397371049403226
Isogenic,PA,R7,p_P883,Guanine,C5 H5 N5 O,C00242,151.0493,2.553,99.3,92,DDA for preferred ion,25918816.73,4.388458618330496
Isogenic,PA,R7,p_P884,Adenosine 3'5'-cyclic monophosphate,C10 H12 N5 O6 P,C00575,329.05243,2.562,86.4,73.9,DDA for preferred ion,9998865.211,4.3567137730381695
Isogenic,PA,R7,p_P904,DL-Arginine,C6 H14 N4 O2,C02385,174.1116,2.648,94,91.8,DDA for preferred ion,2628708.76,2.5532083683752553
Isogenic,PA,R7,p_P920,Carbimazole,C7 H10 N2 O2 S,C07615,186.04621,2.673,59.1,66.8,DDA for preferred ion,21940.27128,-1.936493185516163
Isogenic,PA,R7,p_P940,Thymidine 5'-monophosphate,C10 H15 N2 O8 P,C00364,322.05627,2.691,97.5,87.8,DDA for preferred ion,15515554.5,3.5022934779490775
Isogenic,PA,R7,p_P951,Thymine,C5 H6 N2 O2,C00178,126.0429,2.717,95.7,89.4,DDA for preferred ion,3673605.281,0.25099451941603945
Isogenic,PA,R7,p_P952,N-(2-Methoxyphenyl)acetamide,C9 H11 N O2,NA,165.07879,2.717,56.1,61,DDA for preferred ion,199996.2731,0.3960405394479487
Isogenic,PA,R7,p_P979,Tyrosylalanine,C12 H16 N2 O4,NA,252.11101,2.804,93.5,86.6,DDA for preferred ion,4521763.256,3.984490303071631
Isogenic,PA,R7,p_P998,Cyclohexylamine,C6 H13 N,C00571,99.10491,2.856,NA,88,DDA for preferred ion,9205148.651,-0.1951816232029131
Isogenic,PA,R7,p_P1026,Norepinephrine(Noradrenaline),C8 H11 N O3,C00547,169.07384,2.937,NA,85.3,DDA for preferred ion,37607.04222,-1.9337921438619396
Isogenic,PA,R7,p_P1030,3-Hydroxy-5-(hydroxymethyl)-2-methylisonicotinaldehyde oxime,C8 H10 N2 O3,NA,182.06904,2.943,95.5,94.9,DDA for preferred ion,9392020.018,4.437890734861405
Isogenic,PA,R7,p_P1033,Adenosine,C10 H13 N5 O4,C00212,267.09674,2.962,89.8,81.1,DDA for preferred ion,146647.0826,-0.8192609917737883
Isogenic,PA,R7,p_P1045,Sorbic acid,C6 H8 O2,D02411,112.05251,3.003,80,60.5,DDA for preferred ion,263323.4637,-1.2456657428599378
Isogenic,PA,R7,p_P1046,6-Hydroxynicotinic acid,C6 H5 N O3,C01020,139.02689,3.005,57.9,87.8,DDA for preferred ion,81403.5766,-0.13903059374280602
Isogenic,PA,R7,p_P1097,allopurinol,C5 H4 N4 O,D00224,136.03851,3.183,NA,70.6,DDA for preferred ion,20858.83026,-0.8827355487879345
Isogenic,PA,R7,p_P1120,2-Hydroxyphenylalanine,C9 H11 N O3,NA,181.07378,3.246,80.4,72.3,DDA for preferred ion,1385114.613,-0.3917323091626628
Isogenic,PA,R7,p_P1125,5-Valerolactone,C5 H8 O2,C02240,100.05252,3.26,NA,62,DDA for preferred ion,1687802.954,1.9934332057720603
Isogenic,PA,R7,p_P1176,"N,N-dimethyl-9H-purin-6-amine",C7 H9 N5,NA,163.08573,3.426,50.6,70,DDA for preferred ion,3904944.213,1.7475332706684519
Isogenic,PA,R7,p_P1192,L-Phenylalanine,C9 H11 N O2,C00079,165.07881,3.473,96,90.5,DDA for preferred ion,53981847.02,-1.7821655075652245
Isogenic,PA,R7,p_P1228,2-Hydroxy-2-methylbutyronitrile,C5 H9 N O,NA,99.06849,3.549,NA,84.3,DDA for preferred ion,19584942.16,1.8879812893108827
Isogenic,PA,R7,p_P1305,2-Phenylglycine,C8 H9 N O2,NA,151.06322,3.739,74.1,NA,DDA for preferred ion,2497500.131,1.9251052985131736
Isogenic,PA,R7,p_P1326,Glycyl-L-leucine,C8 H16 N2 O3,C02155,188.11597,3.782,93.3,87.7,DDA for preferred ion,1212615.511,2.5317533737959295
Isogenic,PA,R7,p_P1334,Aspartame,C14 H18 N2 O5,D02381,294.12162,3.838,64,NA,DDA for preferred ion,3558284.397,3.8977119595353464
Isogenic,PA,R7,p_P1346,NP-016455,C11 H18 N2 O4,NA,242.12665,3.944,NA,75.6,DDA for preferred ion,2220436.124,4.228984816587609
Isogenic,PA,R7,p_P1375,"N6-[(5-nitro-2-thienyl)methylidene]-2,3-dihydro-1,4-benzodioxin-6-amine",C13 H10 N2 O4 S,NA,290.03624,4.011,NA,62.2,DDA for preferred ion,753638.9437,0.19182035176243417
Isogenic,PA,R7,p_P1433,Hypoxanthine,C5 H4 N4 O,C00262,136.03846,4.15,90.7,88.3,DDA for preferred ion,10930815.95,3.865421260273834
Isogenic,PA,R7,p_P1443,Pantothenate,C9 H17 N O5,C00864,219.11067,4.185,92,NA,DDA for preferred ion,15977372.33,1.5777882115039894
Isogenic,PA,R7,p_P1524,tert-Butyl N-[1-(aminocarbonyl)-3-methylbutyl]carbamate,C11 H22 N2 O3,NA,230.16306,4.511,67.5,64.7,DDA for preferred ion,3004474.993,3.7276984829054705
Isogenic,PA,R7,p_P1540,Paraquat,C12 H14 N2,C14701,186.11568,4.574,NA,67.3,DDA for preferred ion,302629.6199,0.914950526670598
Isogenic,PA,R7,p_P1546,Harmine,C13 H12 N2 O,C06538,212.09472,4.598,85.5,NA,DDA for preferred ion,223873.2484,0.9042929505366395
Isogenic,PA,R7,p_P1551,"2-(Methylamino)-2,3-dihydro-1H-benzo[de]isoquinoline-1,3-dione",C13 H10 N2 O2,NA,226.07428,4.607,NA,78.5,DDA for preferred ion,369266.0267,2.050585453637087
Isogenic,PA,R7,p_P1560,"6,7-dihydro-5H-dibenzo[d,f][1,3]diazepin-6-one",C13 H10 N2 O,NA,210.07928,4.655,NA,75.7,DDA for preferred ion,108458783.8,4.2945527487534285
Isogenic,PA,R7,p_P1605,DL-Tryptophan,C11 H12 N2 O2,C00806,204.08981,4.882,99.2,96.7,DDA for preferred ion,3607858.018,-2.666101744213048
Isogenic,PA,R7,p_P1606,8-Hydroxyquinoline,C9 H7 N O,C19434,145.0527,4.882,57.9,61.4,DDA for preferred ion,50823.84784,-3.2144063891048535
Isogenic,PA,R7,p_P1609,Isoquinoline,C9 H7 N,C06323,129.05783,4.883,68.4,76.6,DDA for preferred ion,54529.24833,-2.7499758730970463
Isogenic,PA,R7,p_P1610,"1,5-Naphthalenediamine",C10 H10 N2,C19463,158.08434,4.883,66.7,64.6,DDA for preferred ion,77699.00112,-2.7396726984776194
Isogenic,PA,R7,p_P1612,Indole-3-acrylic acid,C11 H9 N O2,NA,187.06323,4.885,97,89,DDA for preferred ion,3542193.273,-2.655464887879468
Isogenic,PA,R7,p_P1632,Methionine,C5 H11 N O2 S,C01733,149.05097,4.935,93.1,90.8,DDA for preferred ion,13150978.5,1.7796282255853058
Isogenic,PA,R7,p_P1656,Phloroglucinol,C6 H6 O3,C02183,126.03164,4.976,57.2,74.1,DDA for preferred ion,1939361.072,2.6879718182928727
Isogenic,PA,R7,p_P1669,Valine,C5 H11 N O2,C00183,117.07896,5.01,88.5,85.4,DDA for preferred ion,4842124.357,0.2655838597687854
Isogenic,PA,R7,p_P1697,Caprolactam,C6 H11 N O,C06593,113.0841,5.109,92.6,85.1,DDA for preferred ion,14024172.7,0.3686746029594019
Isogenic,PA,R7,p_P1723,?-Aspartylphenylalanine,C13 H16 N2 O5,NA,280.10606,5.279,75.8,73.9,DDA for preferred ion,38517.72632,-1.8411398409759006
Isogenic,PA,R7,p_P1724,N-Acetyl-L-tyrosine,C11 H13 N O4,C01657,223.08447,5.281,95.8,91.2,DDA for preferred ion,2290813.325,1.4477715830197155
Isogenic,PA,R7,p_P1739,1(2H)-Isoquinolinone,C9 H7 N O,C06324,145.05266,5.382,NA,78.3,DDA for preferred ion,98831.29487,-0.2932056014716764
Isogenic,PA,R7,p_P1761,2-Acetamidophenol,C8 H9 N O2,NA,151.06327,5.552,99.2,93.3,DDA for preferred ion,21687547.01,4.845898190755644
Isogenic,PA,R7,p_P1767,"1-(2,4-Dihydroxyquinolin-3-yl)ethan-1-one",C11 H9 N O3,NA,203.05828,5.577,81.1,82.5,DDA for preferred ion,285507.2559,1.846768028373372
Isogenic,PA,R7,p_P1769,NP-003319,C11 H14 N4 O4 S,NA,298.0735,5.581,NA,84.6,DDA for preferred ion,1148615.787,0.9351887883603709
Isogenic,PA,R7,p_P1775,6-Methylquinoline,C10 H9 N,NA,143.07344,5.644,57.6,88.8,DDA for preferred ion,30042.23666,-2.269769562224747
Isogenic,PA,R7,p_P1776,"2,3,4,9-Tetrahydro-1H-?-carboline-3-carboxylic acid",C12 H12 N2 O2,NA,216.08993,5.644,92.5,90,DDA for preferred ion,29024.216230000002,-3.072222689221036
Isogenic,PA,R7,p_P1800,N-Benzylformamide,C8 H9 N O,C15561,135.06835,5.775,76.5,75.7,DDA for preferred ion,2076726.253,1.3287211159368901
Isogenic,PA,R7,p_P1814,2-(2-amino-3-methylbutanamido)-3-phenylpropanoic acid,C14 H20 N2 O3,NA,264.14748,5.848,NA,81.5,DDA for preferred ion,4693229.825,4.505659752960124
Isogenic,PA,R7,p_P1826,Kynurenic acid,C10 H7 N O3,C01717,189.0425,5.966,94,93.1,DDA for preferred ion,2081348.031,2.3700626705095296
Isogenic,PA,R7,p_P1841,4-Hydroxybenzaldehyde,C7 H6 O2,C00633,122.03679,6.107,91.3,86.1,DDA for preferred ion,298198.8003,-0.2980798692478217
Isogenic,PA,R7,p_P1847,3-Methyl-quinolin-2-ol,C10 H9 N O,NA,159.06836,6.141,NA,82.6,DDA for preferred ion,38710114.3,4.642454063300072
Isogenic,PA,R7,p_P1857,3-[1-(dimethylamino)-1H-pyrrol-2-yl]-2-(2-furylcarbonyl)acrylonitrile,C14 H13 N3 O2,NA,255.10076,6.211,NA,70.1,DDA for preferred ion,102743.7306,0.23713942269934662
Isogenic,PA,R7,p_P1858,Anthranilic acid,C7 H7 N O2,C00108,137.04764,6.242,95.3,90.1,DDA for preferred ion,404064923.8,6.000719683770356
Isogenic,PA,R7,p_P1868,Indole-3-butyric acid,C12 H13 N O2,C11284,203.09469000000001,6.293,98.2,90.7,DDA for preferred ion,561655.4734,2.2501493034396525
Isogenic,PA,R7,p_P1892,N1-(2-{2-[2-(acetylamino)phenoxy]ethoxy}phenyl)acetamide,C18 H20 N2 O4,NA,328.1422,6.496,65.4,61.7,DDA for preferred ion,3462853.808,4.248183525052593
Isogenic,PA,R7,p_P1905,4-Acetamidobenzoic acid,C9 H9 N O3,D03836,179.05821,6.601,91.3,85.3,DDA for preferred ion,1432382.382,3.127140636106912
Isogenic,PA,R7,p_P1937,N-Methylcaprolactam,C7 H13 N O,NA,127.09967,6.878,NA,60.2,DDA for preferred ion,28581844.29,2.0891176669874625
Isogenic,PA,R7,p_P1957,Tolycaine,C15 H22 N2 O3,NA,278.16318,6.969,77.1,73.3,DDA for preferred ion,3553800.091,4.320466691462709
Isogenic,PA,R7,p_P1973,2-oxo-1_2-dihydroquinoline-4-carboxylate,C10 H7 N O3,C16715,189.04248,7.086,NA,74.1,DDA for preferred ion,86630.50922,0.47545740620236465
Isogenic,PA,R7,p_P1975,2-cyano-3-(4-hydroxyphenyl)acrylamide,C10 H8 N2 O2,NA,188.05853,7.087,69.1,NA,DDA for preferred ion,1590663.452,1.5801526660021992
Isogenic,PA,R7,p_P1980,N-Acetyl-L-leucine,C8 H15 N O3,C02710,173.10506,7.153,97.8,91.4,DDA for preferred ion,50431642.96,2.6989232689986693
Isogenic,PA,R7,p_P1998,Pyroquilon,C11 H11 N O,C18487,173.08405,7.213,NA,77.4,DDA for preferred ion,1553404.918,2.9570080267782934
Isogenic,PA,R7,p_P2005,2-Hydroxyquinoline,C9 H7 N O,C06338,145.05269,7.292,78.2,85,DDA for preferred ion,2492141.374,3.5204622599950213
Isogenic,PA,R7,p_P2029,6-Methoxyquinoline N-oxide,C10 H9 N O2,NA,175.06327,7.494,83.2,84,DDA for preferred ion,86794989.8,5.397948222680874
Isogenic,PA,R7,p_P2062,Indole-3-lactic acid,C11 H11 N O3,C02043,205.07402,7.858,90.9,89.5,DDA for preferred ion,85109.2172,-1.5393811614193744
Isogenic,PA,R7,p_P2063,Desthiobiotin,C10 H18 N2 O3,C01909,214.13178,7.859,94.5,91.3,DDA for preferred ion,6205758.512,2.7942073736670068
Isogenic,PA,R7,p_P2075,"3,3,5,5-Tetramethylpyrroline-N-oxide",C8 H15 N O,NA,141.11532,8.039,65.6,NA,DDA for preferred ion,82335.2046,-2.1277480101227617
Isogenic,PA,R7,p_P2082,2-[(Dimethylamino)methylidene]indan-1-one,C12 H13 N O,NA,187.09968,8.104,51,78.5,DDA for preferred ion,544478.6427,2.3693360857014873
Isogenic,PA,R7,p_P2101,3-[(dimethylamino)methylene]-1H-2-benzothiopyran-4(3H)-one,C12 H13 N O S,NA,219.07179,8.363,NA,65.6,DDA for preferred ion,107601.305,0.7753555598866289
Isogenic,PA,R7,p_P2103,Acetanilide,C8 H9 N O,C02558,135.0684,8.377,73,71.5,DDA for preferred ion,1894169.782,1.6050259916311624
Isogenic,PA,R7,p_P2109,"2,4-Quinolinediol",C9 H7 N O2,C16716,161.04761,8.487,83.3,90.7,DDA for preferred ion,41113023.45,4.542683370859574
Isogenic,PA,R7,p_P2121,"1-(4-Methylphenyl)pyrrolidine-2,5-dione",C11 H11 N O2,NA,189.07895,8.706,56.6,65.9,DDA for preferred ion,4492493.258,3.907448519894068
Isogenic,PA,R7,p_P2122,"6-hydroxy-4-methyl-2-phenyl-2,3-dihydropyridazin-3-one",C11 H10 N2 O2,NA,202.07432,8.716,51.3,81.5,DDA for preferred ion,3472521.829,3.298400953468537
Isogenic,PA,R7,p_P2129,5-Hydroxyindole-3-acetic acid,C10 H9 N O3,C05635,191.05783,8.869,78.3,67.9,DDA for preferred ion,25964.26851,-0.2583149260730586
Isogenic,PA,R7,p_P2135,"1,3-Dihydro-1,3,3-trimethyl-2H-indol-2-ylidene acetaldehyde",C13 H15 N O,NA,201.11539,9.044,65.2,80.4,DDA for preferred ion,576809.5924,1.853022369184668
Isogenic,PA,R7,p_P2143,"1,3,4,10-Tetrahydro-9(2H)-acridinone",C13 H13 N O,NA,199.09971,9.241,50.4,81,DDA for preferred ion,5832246.75,4.07261158895594
Isogenic,PA,R7,p_P2147,4-Coumarylalcohol(4-Hydroxycoumarin),C9 H6 O3,NA,162.03165,9.48,NA,65.1,DDA for preferred ion,2619848.586,1.1389710521112448
Isogenic,PA,R7,p_P2148,"4-(allyloxy)-1,2-dihydroquinolin-2-one",C12 H11 N O2,NA,201.07905,9.492,73.7,77.6,DDA for preferred ion,3597773.485,3.705345582289098
Isogenic,PA,R7,p_P2152,3-Indolebutyricacid,C12 H13 N O2,C11284,203.09468,9.612,NA,77.8,DDA for preferred ion,1255753.952,3.1368713043161023
Isogenic,PA,R7,p_P2154,5-[4-(2-furylcarbonyl)piperazino]-5-oxo-3-phenylpentanoic acid,C20 H22 N2 O5,NA,370.15341,9.647,59.6,70.5,DDA for preferred ion,3826650.999,4.173975115025467
Isogenic,PA,R7,p_P2162,Lumichrome,C12 H10 N4 O2,C01727,242.08044,9.715,NA,83,DDA for preferred ion,4855201.319,3.5177008917344104
Isogenic,PA,R7,p_P2163,2-(1H-indol-3-yl)acetic acid,C10 H9 N O2,C00954,175.0633,9.723,56.9,79.8,DDA for preferred ion,49856.18881,0.00914948154967199
Isogenic,PA,R7,p_P2166,"3,3'-Dimethoxybenzidine",C14 H16 N2 O2,C19231,244.12129,9.745,NA,72.1,DDA for preferred ion,29908.03603,-2.144946475354711
Isogenic,PA,R7,p_P2169,BB-22 3-Carboxyindole metabolite,C16 H19 N O2,NA,257.14167,9.791,NA,61.6,DDA for preferred ion,192421.2922,0.9075914609152953
Isogenic,PA,R7,p_P2170,"N1-(5-oxo-5,6,7,8-tetrahydronaphthalen-2-yl)acetamide",C12 H13 N O2,NA,203.09466,9.798,54.5,72.4,DDA for preferred ion,2150393.991,3.3644274247888255
Isogenic,PA,R7,p_P2181,PB-22 N-(4-Hydroxypentyl)-3-carboxyindole metabolite,C14 H17 N O3,NA,247.12096,9.879,NA,71.2,DDA for preferred ion,72457.28832,-0.0157680233116686
Isogenic,PA,R7,p_P2190,Isophenoxazine,C12 H8 N2 O2,C02161,212.05865,9.921,NA,70.3,DDA for preferred ion,1274003.198,1.8730828990336903
Isogenic,PA,R7,p_P2191,Norbutorphanol,C16 H21 N O2,NA,259.15727,9.926,85.8,81.2,DDA for preferred ion,529368.9757,2.0322707673625366
Isogenic,PA,R7,p_P2195,Aniline,C6 H7 N,C00292,93.058,9.956,82.2,86.2,DDA for preferred ion,394092.1864,0.9091654490346457
Isogenic,PA,R7,p_P2199,NP-002223,C13 H13 N O2,NA,215.09467,9.961,NA,69.6,DDA for preferred ion,19232307.32,3.764634514136077
Isogenic,PA,R7,p_P2213,"4-phenyl-6-(2-thienyl)-2,3,4,5-tetrahydropyridazin-3-one",C14 H12 N2 O S,NA,256.06691,9.995,NA,75.9,DDA for preferred ion,2844507.4,3.461061102851108
Isogenic,PA,R7,p_P2228,4-(4-Cyclohexylanilino)-4-oxobut-2-enoic acid,C16 H19 N O3,NA,273.1368,10.04,60.7,NA,DDA for preferred ion,934120.5902,1.9297542568506465
Isogenic,PA,R7,p_P2232,Norketamine,C12 H14 Cl N O,NA,223.07461,10.061,81.6,NA,DDA for preferred ion,1844073.493,1.498961941692901
Isogenic,PA,R7,p_P2244,5'-S-Methyl-5'-thioadenosine,C11 H15 N5 O3 S,C00170,297.08946,10.104,73,NA,DDA for preferred ion,314732.2425,1.1674112345094017
Isogenic,PA,R7,p_P2247,"2-(4-hydroxy-1,3-thiazol-2-yl)-1-phenylethan-1-one",C11 H9 N O2 S,NA,219.03543,10.118,NA,65.2,DDA for preferred ion,2348712.093,2.934911388544254
Isogenic,PA,R7,p_P2248,5-(2-Thienyl)nicotinic acid,C10 H7 N O2 S,NA,205.01976,10.123,68.8,75.5,DDA for preferred ion,14871961.93,3.4016002389137014
Isogenic,PA,R7,p_P2251,"1-(1,3,3-Trimethyl-2,3-dihydro-1H-indol-2-yliden)acetone",C14 H17 N O,NA,215.131,10.126,NA,88.2,DDA for preferred ion,8895054.913,4.070898485937107
Isogenic,PA,R7,p_P2275,phenazine-2-carboxylic acid,C13 H8 N2 O2,NA,224.05861,10.166,NA,87.1,DDA for preferred ion,3640200.703,0.3407112748192276
Isogenic,PA,R7,p_P2276,N-(9-oxodecyl)acetamide,C12 H23 N O2,NA,213.17285999999999,10.166,NA,69.4,DDA for preferred ion,4172742.832,-0.12347319124800293
Isogenic,PA,R7,p_P2299,"4-(2-hydroxyphenyl)-8,9-dimethyl-2,3-dihydro-1H-1,5-benzodiazepin-2-one",C17 H16 N2 O2,NA,280.12124,10.213,80.1,79.1,DDA for preferred ion,134526.8905,-0.1472010251966971
Isogenic,PA,R7,p_P2310,2-Hydroxy-4'-(2-hydroxyethoxy)-2-methylpropiophenone,C12 H16 O4,NA,224.10246,10.232,53.8,64.7,DDA for preferred ion,19600378.68,-0.029285852907470655
Isogenic,PA,R7,p_P2327,3-oxoindane-1-carboxylic acid,C10 H8 O3,NA,176.04726,10.253,63.8,NA,DDA for preferred ion,2640809.269,0.13305994804817445
Isogenic,PA,R7,p_P2332,Imidazosagatriazinone,C17 H20 N4 O2,NA,312.15483,10.262,64.1,NA,DDA for preferred ion,3593234.119,-0.11490243633337016
Isogenic,PA,R7,p_P2342,"1-(Benzylamino)-3-(3,4-dimethylphenoxy)propan-2-ol",C18 H23 N O2,NA,285.17298,10.274,NA,72.4,DDA for preferred ion,982430.4852,1.3671090033786903
Isogenic,PA,R7,p_P2345,4-Hydroxypropranolol,C16 H21 N O3,NA,275.15224,10.281,NA,66.7,DDA for preferred ion,4159820.935,2.9940208073780603
Isogenic,PA,R7,p_P2347,"2,2,6,6-Tetramethyl-1-piperidinol (TEMPO)",C9 H19 N O,NA,157.14656,10.282,NA,78.3,DDA for preferred ion,160738170,-0.2148488924944978
Isogenic,PA,R7,p_P2353,N1-bicyclo[2.2.2]oct-2-ylbenzamide,C15 H19 N O,NA,229.14671,10.291,NA,73.5,DDA for preferred ion,1600285.941,1.9496008568073186
Isogenic,PA,R7,p_P2355,2-benzyl-6-hydroxy-2-azabicyclo[2.2.2]octan-3-one,C14 H17 N O2,NA,231.12593,10.295,NA,68.3,DDA for preferred ion,50195969.31,3.1379628633856704
Isogenic,PA,R7,p_P2362,Triphenylphosphine oxide,C18 H15 O P,NA,278.08607,10.303,58.7,77.2,DDA for preferred ion,1459535.649,0.7505927446149521
Isogenic,PA,R7,p_P2364,Phytosphingosine;D-Ribo-2-amino-1_3_4-Octadecanetriol,C18 H39 N O3,C12144,317.29282,10.307,NA,76.3,DDA for preferred ion,1342964.224,-0.2785902884895073
Isogenic,PA,R7,p_P2372,2-(4-Methoxybenzylidene)quinuclidin-3-one,C15 H17 N O2,NA,243.12592,10.315,65.2,69.9,DDA for preferred ion,21058654.6,4.41267998820171
Isogenic,PA,R7,p_P2408,Isobutyl benzoate,C11 H14 O2,NA,178.09931,10.378,67.5,NA,DDA for preferred ion,3514098.425,-0.7520279818736775
Isogenic,PA,R7,p_P2418,"(2R)-2-[(2R,5S)-5-[(2S)-2-hydroxybutyl]oxolan-2-yl]propanoic acid",C11 H20 O4,NA,216.13617,10.392,NA,70.6,DDA for preferred ion,3767258.09,-2.175809830149973
Isogenic,PA,R7,p_P2423,"(1H-Indol-3-yl)(2,2,3,3-tetramethylcyclopropyl)methanone",C16 H19 N O,NA,241.14666,10.403,NA,73.4,DDA for preferred ion,1423002.887,1.092678355935945
Isogenic,PA,R7,p_P2424,"4-[4-phenyl-3,6-dihydro-1(2H)-pyridinyl]butanoic acid hydrochloride",C15 H19 N O2,NA,245.14153,10.408,NA,64.9,DDA for preferred ion,18348947.71,4.3518908665568325
Isogenic,PA,R7,p_P2433,Benzophenone,C13 H10 O,C06354,182.07308,10.427,96.9,82.9,DDA for preferred ion,2541119.564,-0.5356973611838711
Isogenic,PA,R7,p_P2471,"7,7-dimethyl-3-spiro(4,4,-dimethyl-2,6-dioxocyclohexyl)-1,2,3,4,5,6,7,8-octahydro-5-quinolinone",C18 H25 N O3,NA,303.18335,10.467,NA,74.6,DDA for preferred ion,28145841.74,4.610660349159566
Isogenic,PA,R7,p_P2477,10-Oxodecanoate,C10 H18 O3,C02217,186.12587,10.474,NA,84.7,DDA for preferred ion,2879783.866,-0.4838886890252354
Isogenic,PA,R7,p_P2490,Atropine,C17 H23 N O3,C01479,289.16777,10.514,NA,78,DDA for preferred ion,42948322.77,2.580809963803425
Isogenic,PA,R7,p_P2491,"6-(2-chloroanilino)-4-oxo-2-(4-pyridyl)-3,4-dihydro-2H-1,3-thiazine-5-carbonitrile",C16 H11 Cl N4 O S,NA,342.28781,10.514,68.7,NA,DDA for preferred ion,4097444.144,-0.08843321255065106
Isogenic,PA,R7,p_P2492,Ethyl paraben,C9 H10 O3,D01647,166.06294,10.515,64,NA,DDA for preferred ion,4323868.179,5.696631245513117e-4
Isogenic,PA,R7,p_P2493,4-Ethoxy ethylbenzoate,C11 H14 O3,NA,194.09418,10.515,NA,87.5,DDA for preferred ion,12280843.16,-0.0337310073946675
Isogenic,PA,R7,p_P2496,Desomorphine,C17 H21 N O2,NA,271.1573,10.524,NA,77.2,DDA for preferred ion,32757093.59,2.76714147010831
Isogenic,PA,R7,p_P2509,(+/-)-threo-Methylnaphthidate,C18 H21 N O2,NA,283.15717,10.55,NA,62.5,DDA for preferred ion,3840545.606,1.9513116652244982
Isogenic,PA,R7,p_P2515,"3,5-di-tert-Butyl-4-hydroxybenzaldehyde",C15 H22 O2,NA,234.16195,10.556,88.4,87.2,DDA for preferred ion,7659971.456,-0.1246033202974246
Isogenic,PA,R7,p_P2517,"(3S,9aS)-3-benzyl-octahydro-1H-pyrido[1,2-a]pyrazin-1-one",C15 H20 N2 O,NA,244.15749,10.561,NA,79.5,DDA for preferred ion,142940.9553,0.07216047181553975
Isogenic,PA,R7,p_P2528,"3-Desoxy-3,4-methylenedioxy pyrovalerone",C17 H23 N O2,NA,273.17299,10.577,NA,67.5,DDA for preferred ion,45644608.16,2.3011690989024487
Isogenic,PA,R7,p_P2537,Dextromethorphan,C18 H25 N O,C06947,271.19373,10.594,NA,91,DDA for preferred ion,4269275.598,0.8157005247661644
Isogenic,PA,R7,p_P2554,Benzyl butyl phthalate,C19 H20 O4,C14211,312.13593,10.629,90.2,78.1,DDA for preferred ion,18894470.35,-0.1571149816544235
Isogenic,PA,R7,p_P2557,2-({2-[4-(4-Fluorophenyl)piperazino]-2-oxoethyl}sulfanyl)acetic acid,C14 H17 F N2 O3 S,NA,312.0965,10.632,51.8,65.9,DDA for preferred ion,3102505.91,3.2074562224907233
Isogenic,PA,R7,p_P2561,Diisobutylphthalate,C16 H22 O4,C15205,278.15179,10.642,92.6,75.4,DDA for preferred ion,45851975.41,-0.13893120789880697
Isogenic,PA,R7,p_P2594,D-(+)-Camphor,C10 H16 O,C00808,152.11997,10.693,65,63.7,DDA for preferred ion,4917363.246,3.2253528470915214
Isogenic,PA,R7,p_P2597,Citroflex A-4,C20 H34 O8,NA,402.22487,10.699,91.6,89.8,DDA for preferred ion,10144457.34,-0.446280007290504
Isogenic,PA,R7,p_P2607,Oleamide,C18 H35 N O,C19670,281.27191,10.708,76.4,80.7,DDA for preferred ion,6007740.143,-0.43509411481607785
Isogenic,PA,R7,p_P2606,?-Linolenoyl ethanolamide,C20 H35 N O2,NA,152.1188,10.708,NA,70.6,DDA for other ion,14514042.3,-0.3931568456633734
Isogenic,PA,R7,p_P2664,(6Z)-Octadecenoicacid,C18 H34 O2,C08363,282.25594,10.838,NA,86.2,DDA for preferred ion,10331494.78,-0.34621882687164174
Isogenic,PA,R7,p_P2679,2-Heptyl-4-hydroxyquinoline-N-oxide,C16 H21 N O2,C04284,259.15714,10.867,NA,86.2,DDA for preferred ion,3246302.33,1.6775535820193745
Isogenic,PA,R7,p_P2686,"(1R,3R,4S,5R)-3,4-bis({[(2E)-3-(3,4-dihydroxyphenyl)prop-2-enoyl]oxy})-1,5-dihydroxycyclohexane-1-carboxylic acid",C25 H24 O12,NA,498.12035,10.913,NA,70.9,DDA for preferred ion,3635122.47,-0.015359204311263142
Isogenic,PA,R7,p_P2697,Benazol P,C13 H11 N3 O,D03913,225.09026,11.004,91.6,90.7,DDA for preferred ion,6138722.116,-0.10488553211988005
Isogenic,PA,R7,p_P2707,Dibutyl sebacate,C18 H34 O4,D03782,314.24559,11.055,89.7,78.8,DDA for preferred ion,12272082.94,-0.17416282318434995
